iter	Passed	Remaining
0	52	26413
1	58	14450
2	64	10636
3	69	8590
4	74	7385
5	80	6615
6	85	6023
7	90	5589
8	97	5327
9	102	5023
10	107	4798
11	115	4691
12	118	4440
13	123	4282
14	128	4149
15	133	4033
16	138	3931
17	144	3869
18	149	3780
19	154	3699
20	159	3634
21	164	3577
22	169	3523
23	175	3479
24	183	3477
25	188	3430
26	194	3413
27	199	3370
28	205	3329
29	210	3290
30	215	3255
31	219	3216
32	225	3192
33	230	3159
34	235	3124
35	240	3098
36	248	3105
37	253	3078
38	258	3056
39	263	3033
40	269	3016
41	273	2986
42	278	2965
43	283	2938
44	287	2911
45	294	2902
46	298	2879
47	304	2865
48	309	2850
49	314	2828
50	318	2806
51	324	2796
52	329	2778
53	334	2758
54	338	2737
55	343	2721
56	347	2703
57	352	2689
58	359	2689
59	364	2670
60	368	2652
61	374	2647
62	379	2634
63	384	2620
64	391	2618
65	395	2603
66	400	2587
67	405	2576
68	410	2565
69	415	2553
70	422	2555
71	427	2542
72	432	2530
73	437	2520
74	442	2510
75	447	2497
76	452	2485
77	462	2501
78	466	2488
79	473	2487
80	478	2474
81	483	2463
82	490	2461
83	494	2448
84	498	2435
85	504	2426
86	509	2417
87	514	2408
88	520	2402
89	524	2390
90	529	2381
91	534	2368
92	539	2360
93	544	2350
94	549	2341
95	556	2341
96	561	2331
97	568	2330
98	573	2321
99	578	2312
100	583	2306
101	588	2296
102	593	2286
103	600	2287
104	605	2278
105	610	2268
106	615	2260
107	622	2258
108	627	2249
109	632	2242
110	637	2234
111	642	2224
112	647	2216
113	653	2212
114	659	2206
115	664	2199
116	669	2192
117	674	2182
118	679	2175
119	685	2170
120	689	2161
121	695	2156
122	703	2155
123	708	2147
124	712	2138
125	718	2133
126	723	2125
127	728	2116
128	733	2108
129	738	2100
130	742	2092
131	749	2088
132	754	2081
133	759	2075
134	765	2069
135	769	2060
136	774	2052
137	780	2047
138	785	2039
139	789	2031
140	794	2023
141	803	2025
142	807	2015
143	811	2007
144	817	2000
145	821	1991
146	826	1985
147	831	1978
148	836	1970
149	840	1962
150	851	1967
151	856	1960
152	860	1952
153	866	1946
154	871	1938
155	876	1932
156	884	1932
157	890	1927
158	895	1920
159	900	1914
160	905	1906
161	910	1899
162	915	1892
163	920	1885
164	924	1877
165	930	1872
166	935	1865
167	940	1859
168	946	1853
169	951	1846
170	956	1839
171	960	1832
172	965	1824
173	970	1817
174	975	1811
175	980	1804
176	984	1797
177	990	1791
178	995	1785
179	1001	1779
180	1005	1772
181	1011	1767
182	1016	1760
183	1021	1753
184	1026	1747
185	1030	1740
186	1035	1733
187	1041	1727
188	1045	1720
189	1050	1714
190	1054	1706
191	1059	1700
192	1064	1693
193	1069	1686
194	1073	1679
195	1078	1672
196	1082	1665
197	1087	1658
198	1092	1652
199	1097	1645
200	1101	1638
201	1107	1633
202	1111	1626
203	1116	1620
204	1122	1614
205	1127	1608
206	1131	1601
207	1137	1596
